the_geom,SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.74009743581296 41.807578506885676),400009,GLOBAL CITIZENSHIP CHTR,"4647 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.7400974361,41.807578508
POINT (-87.62584903655835 41.79612150956602),400010,ACE TECHNICAL CHTR HS,"5410 S State St, 60609",HS,"9, 10, 11, 12",Charter,-87.6258490371,41.79612151
POINT (-87.70523452593643 41.87724835219521),400011,"LOCKE, A CHTR","3141 W Jackson Blvd, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7052345263,41.877248353
POINT (-87.63547156881552 41.770802253761666),400012,AMANDLA CHTR HS,"6800 S Stewart Ave, 60621",HS,"5, 6, 7, 8, 9, 10, 11",Charter,-87.6354715693,41.7708022549
POINT (-87.72709565849537 41.93729828444937),400013,ASPIRA CHTR - EARLY COLLEGE HS,"3986 W Barry Ave, 60618",HS,"9, 10, 11, 12",Charter,-87.7270956582,41.9372982854
POINT (-87.69552183054235 41.912497606876556),400015,ASPIRA CHTR - RAMIREZ HS,"1711 N California Ave, 60647",HS,12,Charter,-87.6955218301,41.9124976075
POINT (-87.72182466520648 41.966405667183686),400017,ASPIRA CHTR - HAUGAN,"3729 W Leland Ave, 60625",ES,"6, 7, 8",Charter,-87.7218246656,41.9664056681
POINT (-87.76189101712734 41.88420467115555),400018,AUSTIN BUS & ENTRP HS,"231 N Pine Ave, 60644",HS,"9, 10, 11, 12",District,-87.7618910169,41.8842046721
POINT (-87.62662180195757 41.81927661036058),400019,BRONZEVILLE LIGHTHOUSE CHTR,"8 W Root St, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6266218015,41.8192766112
POINT (-87.7076985186806 41.858553288187935),400020,CATALYST CHTR - HOWLAND,"1616 S Spaulding Ave, 60623",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7076985188,41.8585532887
POINT (-87.76532197832837 41.8823222208844),400021,CATALYST CHTR - CIRCLE ROCK,"5608 W Washington Blvd, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7653219783,41.8823222215
POINT (-87.69494501176021 41.89937657239439),400022,CHGO ARTS CONTR HS,"2714 W Augusta Blvd, 60622",HS,"9, 10, 11, 12",Contract,-87.6949450113,41.8993765736
