Short_Name,School_ID,the_geom,Address,Zip,Lat,Long,Network,Governance,Grade_Cat,Grades,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
GLOBAL CITIZENSHIP,400009,POINT (-87.7400974361456 41.80757850716726),4647 W 47th St,60632,41.807579,-87.740097,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)582-1100,8,GARFIELD RIDGE,14,Edward M. Burke
ACE TECH HS,400010,POINT (-87.6258490370775 41.79612150915272),5410 S State St,60609,41.796122,-87.625849,Charter,Charter,HS,"9, 10, 11, 12",1(773)548-8705,9,WASHINGTON PARK,3,Patricia R. Dowell
LOCKE A,400011,POINT (-87.70523452626735 41.87724835217878),3141 W Jackson Blvd,60612,41.877248,-87.705235,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)265-7232,5,EAST GARFIELD PARK,28,Jason C. Ervin
AMANDLA HS,400012,POINT (-87.63547156927478 41.77080225409796),6800 S Stewart Ave,60621,41.770802,-87.635472,Charter,Charter,HS,"5, 6, 7, 8, 9, 10, 11, 12",1(773)535-7150,11,ENGLEWOOD,6,Roderick T. Sawyer
ASPIRA - EARLY COLLEGE HS,400013,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,Charter,Charter,HS,"9, 10, 11, 12",1(773)252-0970 x137,4,AVONDALE,30,Ariel E. Reboyras
ASPIRA - HAUGAN,400017,POINT (-87.72182466558868 41.96640566728407),3729 W Leland Ave,60625,41.966406,-87.721825,Charter,Charter,ES,"6, 7, 8",1(773)252-0970,1,ALBANY PARK,35,Rey Colon
AUSTIN BUS & ENTRP HS,400018,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,Network 3,District,HS,"9, 10, 11, 12",1(773)534-6316,3,AUSTIN,28,Jason C. Ervin
BRONZEVILLE LIGHTHOUSE,400019,POINT (-87.6266218014815 41.819276610409645),8 W Root St,60609,41.819277,-87.626622,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)535-1460,9,GRAND BOULEVARD,3,Patricia R. Dowell
CATALYST - CIRCLE ROCK,400021,POINT (-87.76532197834973 41.882322220692345),5608 W Washington Blvd,60644,41.882322,-87.765322,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)945-5025,3,AUSTIN,29,Deborah L. Graham
CHICAGO ARTS HS,400022,POINT (-87.6949450113285 41.89937657282699),2714 W Augusta Blvd,60622,41.899377,-87.694945,Contract,Contract,HS,"9, 10, 11, 12",1(773)534-9710,5,WEST TOWN,26,Roberto Maldonado
CICS - AVALON/SOUTH SHORE,400023,POINT (-87.5879276410776 41.743179420034345),1501 E 83rd Pl,60619,41.743179,-87.587928,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)721-0858,12,AVALON PARK,8,Michelle A. Harris
CICS - BASIL,400024,POINT (-87.6702426574399 41.79404286329775),1816 W Garfield Blvd,60609,41.794043,-87.670243,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)778-9455,11,NEW CITY,16,JoAnn Thompson
CICS - BUCKTOWN,400025,POINT (-87.68135796458323 41.92241462943599),2235 N Hamilton Ave,60647,41.922415,-87.681358,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)645-3321,6,LOGAN SQUARE,32,Scott Waguespack
CICS - LOOMIS,400026,POINT (-87.6575610581317 41.720246422855304),9535 S Loomis St,60643,41.720246,-87.657561,Charter,Charter,ES,"K, 1, 2",1(773)429-8955,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
CICS - IRVING PARK,400027,POINT (-87.71049242869645 41.95089127442423),3820 N Spaulding Ave,60618,41.950891,-87.710492,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)433-5000,1,IRVING PARK,33,Deborah Mell
CICS - PRAIRIE,400028,POINT (-87.6168883820636 41.68443303827316),11530 S Prairie Ave,60628,41.684433,-87.616888,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)928-0480,13,WEST PULLMAN,9,Anthony A. Beale
CICS - WASHINGTON PARK,400029,POINT (-87.62206845449438 41.78361684616195),6105 S Michigan Ave,60637,41.783617,-87.622068,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)324-3300,9,WASHINGTON PARK,20,Willie B. Cochran
CICS - WEST BELDEN,400030,POINT (-87.77674853907737 41.921687494805006),2245 N McVicker Ave,60639,41.921687,-87.776749,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)637-9430,3,BELMONT CRAGIN,36,Nicholas Sposato
CICS - WRIGHTWOOD,400031,POINT (-87.69261439899655 41.74536545022764),8130 S California Ave,60652,41.745365,-87.692614,Charter,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",1(773)434-4575,10,ASHBURN,18,Lona Lane
CICS - ELLISON HS,400032,POINT (-87.66897963928055 41.7483824079856),1817 W 80th St,60620,41.748382,-87.66898,Charter,Charter,HS,"9, 10, 11, 12",1(773)478-4434,11,AUBURN GRESHAM,17,Latasha R. Thomas
CICS - LONGWOOD,400033,POINT (-87.65576813290534 41.72122143249401),1309 W 95th St,60643,41.721221,-87.655768,Charter,Charter,HS,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1(773)238-5330,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
